,game,model,experiment,episode,metric,value
183,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Request Success Ratio,0.06666666666666667
184,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Aborted,0.0
185,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Lose,1.0
186,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Success,0.0
187,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Main Score,0.0
188,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,quality_score,0.0
189,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,binary_success,0.0
190,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,binary_accuracy,0.0
191,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,efficiency,0.0
192,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,efficiency_raw,0.0
193,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,tolerance_used,0.0
194,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,n_test_cases,100.0
195,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Request Count,15.0
196,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Parsed Request Count,3.0
197,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Violated Request Count,12.0
198,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Request Success Ratio,0.2
199,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Aborted,0.0
200,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Lose,1.0
201,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Success,0.0
202,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,Main Score,0.0
203,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,quality_score,0.0
204,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,binary_success,0.0
205,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,binary_accuracy,0.0
206,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,efficiency,0.0
207,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,efficiency_raw,0.0
208,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,tolerance_used,0.0
209,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00111,n_test_cases,100.0
